"TOA5","Rad_BarnTWR","CR300","1457","CR310.Std.05.01","CPU:barn_tower_script_v2_10min.cr300","51903","Barn_Table"
"TIMESTAMP","RECORD","BattV_Min","Panel_Temp_C_Avg","Air_Temp_C_Avg","Soil_Temp_C_1","Soil_Temp_C_2","Soil_Temp_C_3","Soil_Temp_C_4","Total_Rad_Avg","Diffuse_Rad_Avg","DeltaT_Avg","Diffuse_Rad_Max","DeltaT_Max(1)","DeltaT_Max(2)","Direct_Rad_Std","Total_Rad_Std","Diffuse_Rad_Std","RH","VWC_1","VWC_2","VWC_3","VWC_4","EC_1","EC_2","EC_3","EC_4"
"TS","RN","Volts","deg C","deg C","deg C","deg C","deg C","deg C","umol/m^2/s","umol/m^2/s","","umol/m^2/s","","","umol/m^2/s","umol/m^2/s","umol/m^2/s","%","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","dS/m","dS/m","dS/m","dS/m"
"","","Min","Avg","Avg","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Max","Max","Max","Std","Std","Std","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2018-07-11 13:00:00",52721,13.03,32.4,21.50175,20.14,18.97,17.61,16.58,1236.51,585.8594,0,1431.778,0,0,47.175,600.3655,561.6246,61.35676,0,0.126,0.301,0.308,0.004,0.021,0.006,0.004
"2018-07-11 13:10:00",52722,13.04,32.25,22.65313,20.18,18.97,17.62,16.57,1840.289,1183.479,0,1392.627,0,0,29.12997,310.606,306.2551,57.3715,0,0.126,0.301,0.308,0.005,0.02,0.006,0.004
"2018-07-11 13:20:00",52723,13.05,32.32,23.22141,20.19,18.97,17.64,16.57,1832.588,1168.876,0,1336.199,0,0,62.75051,102.5243,145.1206,58.21172,0,0.126,0.301,0.308,0.005,0.02,0.006,0.004
"2018-07-11 13:30:00",52724,13.03,32.44,22.47485,20.2,18.95,17.63,16.57,1389.724,709.598,0,1297.17,0,0,36.82757,364.7305,371.447,57.59313,0,0.126,0.301,0.308,0.004,0.02,0.006,0.004
"2018-07-11 13:40:00",52725,13.05,32.5,22.90335,20.16,19.02,17.62,16.56,1827.136,1256.736,0,1323.553,0,0,22.45381,50.61106,39.37901,57.72678,0,0.125,0.301,0.308,0.005,0.021,0.006,0.004
"2018-07-11 13:50:00",52726,13.02,32.56,23.27393,20.13,18.97,17.65,16.58,1626.346,1082.977,0,1334.899,0,0,21.78689,339.5706,337.3587,55.23978,0,0.126,0.301,0.308,0.005,0.02,0.006,0.004
"2018-07-11 14:00:00",52727,13.04,32.64,23.29115,20.13,18.98,17.64,16.59,1552.709,992.2582,0,1221.994,0,0,22.71473,245.3519,247.0786,53.71522,0,0.126,0.301,0.308,0.005,0.02,0.006,0.004
"2018-07-11 14:10:00",52728,13.04,32.66,23.57834,20.11,18.99,17.67,16.61,1625.074,1088.401,0,1178.587,0,0,13.08551,190.4592,186.7298,52.10767,0,0.126,0.301,0.308,0.005,0.02,0.006,0.004
"2018-07-11 14:20:00",52729,13.03,32.68,23.41792,20.08,18.99,17.66,16.59,1232.3,740.5988,0,1133.988,0,0,14.42127,455.5841,444.787,53.26975,0,0.126,0.3,0.308,0.005,0.02,0.006,0.004
"2018-07-11 14:30:00",52730,13.03,32.66,23.28453,20.03,18.99,17.68,16.61,1117.985,657.9611,0,1099.14,0,0,34.84239,452.6125,427.7237,53.7348,0,0.126,0.3,0.308,0.004,0.021,0.006,0.004
"2018-07-11 14:40:00",52731,13.03,32.61,23.459,19.98,18.98,17.67,16.61,1043.718,472.3403,0,1033.1,0,0,24.55918,349.1727,357.0823,53.93726,0,0.126,0.3,0.308,0.005,0.02,0.006,0.004
"2018-07-11 14:50:00",52732,13.04,32.55,22.8117,19.97,18.95,17.67,16.62,538.3698,41.31149,0,125.6326,0,0,80.91207,104.4256,30.53147,55.75602,0,0.126,0.3,0.307,0.005,0.02,0.006,0.004
"2018-07-11 15:00:00",52733,13.03,32.49,22.38506,19.94,18.94,17.7,16.61,424.5312,7.750918,0,16.17062,0,0,16.69387,16.8106,5.394962,58.16648,0,0.126,0.3,0.307,0.004,0.021,0.006,0.004
"2018-07-11 15:10:00",52734,13.03,32.36,22.31313,19.89,18.91,17.69,16.61,388.7048,5.120163,0,15.1828,0,0,24.25695,22.39139,6.128801,62.46377,0,0.126,0.3,0.307,0.005,0.02,0.006,0.004
"2018-07-11 15:20:00",52735,13.04,32.26,22.39998,19.85,18.92,17.66,16.64,494.1564,48.31686,0,179.6589,0,0,40.29222,79.08777,52.96944,59.09121,0,0.126,0.3,0.307,0.005,0.02,0.006,0.004
"2018-07-11 15:30:00",52736,13.04,32.2,22.98952,19.83,18.88,17.68,16.6,974.5415,490.5395,0,692.4221,0,0,33.30321,232.3577,246.0324,58.50863,0,0.126,0.3,0.307,0.005,0.02,0.006,0.004
"2018-07-11 15:40:00",52737,13.05,32.15,23.72412,19.81,18.89,17.68,16.64,949.9002,620.5876,0,661.1653,0,0,17.76977,41.56301,24.65544,51.33998,0,0.125,0.3,0.307,0.005,0.02,0.006,0.004
"2018-07-11 15:50:00",52738,13.04,32.13,23.39234,19.8,18.87,17.71,16.64,658.9274,378.5841,0,597.1674,0,0,10.30995,172.1422,164.6558,52.76062,0,0.126,0.299,0.307,0.005,0.02,0.006,0.004
"2018-07-11 16:00:00",52739,13.05,32.1,23.26576,19.76,18.85,17.68,16.64,747.8988,467.6325,0,528.1496,0,0,5.300531,57.13993,55.08879,54.18999,0,0.125,0.299,0.307,0.004,0.02,0.006,0.004
"2018-07-11 16:10:00",52740,13.03,31.99,23.2995,19.69,18.86,17.69,16.64,623.7742,350.9904,0,461.2251,0,0,11.62543,162.6091,161.2807,53.33842,0,0.126,0.299,0.307,0.005,0.02,0.005,0.004
"2018-07-11 16:20:00",52741,13.06,31.85,23.48524,19.67,18.83,17.7,16.63,654.6012,413.555,0,440.8018,0,0,7.730067,13.65706,18.35792,52.21019,0,0.125,0.299,0.307,0.004,0.02,0.006,0.003
"2018-07-11 16:30:00",52742,13.03,31.74,23.53596,19.65,18.81,17.68,16.64,617.4307,343.1567,0,374.3533,0,0,15.21592,11.72202,16.67727,53.92668,0,0.125,0.299,0.307,0.005,0.02,0.006,0.004
"2018-07-11 16:40:00",52743,13.05,31.65,23.60759,19.62,18.78,17.68,16.64,579.8758,293.6768,0,323.6505,0,0,28.38133,54.98489,28.33702,52.07842,0,0.125,0.299,0.307,0.005,0.02,0.006,0.004
"2018-07-11 16:50:00",52744,13.07,31.58,23.5648,19.51,18.78,17.69,16.65,462.349,230.5021,0,280.4314,0,0,6.119783,67.5526,69.55532,51.27032,0,0.125,0.299,0.306,0.005,0.02,0.006,0.004
"2018-07-11 17:00:00",52745,13.05,31.51,23.59885,19.5,18.76,17.68,16.67,386.609,148.5677,0,205.9571,0,0,8.097056,51.55988,47.61878,54.46235,0,0.125,0.299,0.306,0.004,0.02,0.006,0.004
