TIMESTAMP,01p1,01p1,01p2,01p2,01p3,01p3,02p1,02p1,02p2,02p2,02p3,02p3,03p1,03p1,03p2,03p2,03p3,03p3,04p1,04p1,04p2,04p2,04p3,04p3,05p1,05p1,05p2,05p2,05p3,05p3,06p1,06p1,06p2,06p2,06p3,06p3,07p1,07p1,07p2,07p2,07p3,07p3,08p1,08p1,08p2,08p2,08p3,08p3,09p1,09p1,09p2,09p2,09p3,09p3,10p1,10p1,10p2,10p2,10p3,10p3,11p1,11p1,11p2,11p2,11p3,11p3,12p1,12p1,12p2,12p2,12p3,12p3,13p1,13p1,13p2,13p2,13p3,13p3,14p1,14p1,14p2,14p2,14p3,14p3,15p1,15p1,15p2,15p2,15p3,15p3
20180625_0500,90,150,235,290,180,255,90,160,110,180,225,295,45,110,200,260,200,260,95,155,75,135,225,285,65,125,220,280,70,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,155,190,260,150,200,80,140,140,200,140,200,80,140,110,200,70,120,60,115,65,125,50,110,70,150,110,180,80,140
20180625_0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,160,,,130,200,70,125,90,160,70,140,75,135,,,130,190,60,120,,,,,,,,,,
20180625_0900,65,125,105,165,60,120,200,260,220,280,340,400,95,155,160,220,100,160,180,240,105,180,120,190,80,150,180,260,120,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,220,155,220,420,480,245,315,115,180,95,160,100,160,110,180,220,280,205,260,120,180,220,280,260,275,115,180,200,260
20180625_1100,65,125,80,160,100,160,60,120,140,200,120,190,50,120,40,115,80,140,60,130,60,150,120,190,100,160,50,110,40,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,60,120,,,40,120,120,200,60,130,60,130,60,130,100,170,,,,,60,130,60,120,70,110,65,150
20180625_1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180625_1500,60,120,60,120,60,120,100,180,85,155,60,120,55,125,60,120,95,155,90,170,50,110,75,135,80,140,100,160,60,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,135,60,120,90,150,100,200,50,110,90,145,80,150,70,125,65,120,90,150,60,120,80,140,360,440,110,170,85,145
20180625_1700,50,120,40,110,40,110,40,100,50,130,30,100,30,100,20,100,20,90,30,100,20,90,20,90,90,170,60,140,40,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,80,30,100,40,110,80,150,40,110,20,100,20,90,55,135,20,110,20,105,40,110,30,100,310,380,20,90,20,85
20180625_1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180625_2100,220,280,100,165,220,300,120,180,160,230,120,185,50,120,50,110,80,140,80,160,90,160,140,210,120,190,400,460,60,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,180,100,160,110,170,190,250,140,200,100,160,80,140,110,180,110,170,150,220,60,120,125,200,180,220,100,170,90,150
20180625_2300,280,350,70,150,100,170,100,160,100,170,65,140,140,200,100,160,120,180,80,140,60,120,60,120,120,190,70,140,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,130,90,160,40,105,40,110,50,200,60,120,100,180,65,140,120,190,30,90,60,120,90,160,60,120,50,120,60,120
20180626_0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180626_0300,130,210,80,150,70,130,85,155,60,120,70,140,60,120,60,120,50,120,70,140,40,120,60,120,40,110,60,120,50,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,100,60,120,70,130,80,140,60,115,60,130,70,130,100,160,70,140,60,125,60,120,120,190,110,180,65,125,280,340
20180626_0500,30,90,60,120,80,180,60,120,60,120,80,145,500,560,70,140,80,140,60,130,60,130,70,130,100,160,60,140,100,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,160,80,140,100,160,130,240,100,170,60,120,60,130,60,130,60,130,80,150,100,170,60,120,120,180,60,120,100,160
