Year,Month,Day,Hour,Minute,Second,RunTime,CO2,H2O,Temperature,Pressure
2018,5,177,4,22,56,3.835,518.5128,-999.0,50.57486,97.57597
2018,5,177,4,22,56,4.241,518.3332,-999.0,50.57486,97.57597
2018,5,177,4,22,57,4.845,519.01636,-999.0,50.57486,97.55486
2018,5,177,4,22,57,5.25,520.68555,-999.0,50.57486,97.57597
2018,5,177,4,22,58,5.854,521.5438,-999.0,50.57486,97.57597
2018,5,177,4,22,58,6.26,521.777,-999.0,50.57486,97.57597
2018,5,177,4,22,59,6.867,521.6599,-999.0,50.57486,97.57597
2018,5,177,4,22,59,7.271,522.13324,-999.0,50.57486,97.57597
2018,5,177,4,23,0,7.875,523.11536,-999.0,50.57486,97.57597
2018,5,177,4,23,1,8.479,524.4763,-999.0,50.57486,97.57597
2018,5,177,4,23,1,8.881,524.3652,-999.0,50.549057,97.57597
2018,5,177,4,23,2,9.484,524.05475,-999.0,50.549057,97.57597
2018,5,177,4,23,2,9.887,523.9113,-999.0,50.549057,97.57597
2018,5,177,4,23,3,10.491,524.6388,-999.0,50.549057,97.57597
2018,5,177,4,23,3,10.894,526.0602,-999.0,50.549057,97.57597
2018,5,177,4,23,4,11.497,527.04016,-999.0,50.57486,97.57597
2018,5,177,4,23,4,11.903,528.7992,-999.0,50.57486,97.57597
2018,5,177,4,23,5,12.505,528.8778,-999.0,50.57486,97.57597
2018,5,177,4,23,5,12.911,529.2026,-999.0,50.57486,97.57597
2018,5,177,4,23,6,13.517,531.034,-999.0,50.57486,97.57597
2018,5,177,4,23,6,13.919,532.10974,-999.0,50.57486,97.57597
2018,5,177,4,23,7,14.524,533.86884,-999.0,50.57486,97.57597
2018,5,177,4,23,7,14.929,534.4236,-999.0,50.57486,97.57597
2018,5,177,4,23,8,15.534,533.9343,-999.0,50.549057,97.57597
2018,5,177,4,23,8,16.139,534.6013,-999.0,50.549057,97.57597
2018,5,177,4,23,9,16.542,535.6109,-999.0,50.549057,97.55486
