Year,Month,Day,Hour,Minute,Second,RunTime,CO2,H2O,Temperature,Pressure
2018,5,177,1,12,50,23.296,420.03998,12.6862,51.3051,98.0105
2018,5,177,1,12,51,23.902,419.828,12.7094,51.3051,98.032
2018,5,177,1,12,51,24.309,419.832,12.7371,51.2787,97.989
2018,5,177,1,12,52,24.717,420.02902,12.7531,51.2787,97.989
2018,5,177,1,12,52,25.324,420.79602,12.774,51.2787,98.0105
2018,5,177,1,12,53,25.73,420.28802,12.8037,51.2787,98.032
2018,5,177,1,12,53,26.337,420.228,12.8452,51.2787,98.0105
2018,5,177,1,12,54,26.743,420.62302,12.8854,51.2787,98.0105
2018,5,177,1,12,54,27.351,420.051,12.9167,51.2787,98.0105
2018,5,177,1,12,55,27.758,420.257,12.9333,51.2787,98.0105
2018,5,177,1,12,56,28.766,420.007,12.9584,51.2787,98.032
2018,5,177,1,12,56,29.374,420.345,13.0171,51.3051,98.032
2018,5,177,1,12,57,29.981,420.502,13.0446,51.3051,98.0105
2018,5,177,1,12,57,30.387,420.87997,13.0564,51.3051,98.0105
2018,5,177,1,12,58,30.993,421.294,13.0737,51.3051,98.0105
2018,5,177,1,12,58,31.402,421.187,13.103,51.3051,97.989
2018,5,177,1,12,59,32.009,420.445,13.1235,51.2787,98.0105
2018,5,177,1,12,59,32.415,420.747,13.1387,51.2787,98.0105
2018,5,177,1,13,0,33.022,421.447,13.1539,51.2787,98.0105
2018,5,177,1,13,1,33.829,421.26297,13.1811,51.2787,98.0105
2018,5,177,1,13,1,34.035,420.948,13.2167,51.2787,98.0105
2018,5,177,1,13,1,34.442,420.586,13.232,51.2787,98.0105
2018,5,177,1,13,2,35.049,420.904,13.2406,51.2787,98.0105
2018,5,177,1,13,2,35.455,421.29898,13.2758,51.2787,98.0105
2018,5,177,1,13,3,36.061,421.167,13.3035,51.2787,98.032
2018,5,177,1,13,4,36.672,421.529,13.3172,51.2787,98.032
2018,5,177,1,13,4,37.278,421.02798,13.332,51.3051,98.032
2018,5,177,1,13,4,37.484,420.54803,13.3629,51.3051,98.0105
2018,5,177,1,13,5,38.09,421.01898,13.3856,51.3051,98.032
2018,5,177,1,13,6,38.897,421.66296,13.4057,51.3051,98.0105
2018,5,177,1,13,6,39.108,421.47498,13.4316,51.2787,98.0105
2018,5,177,1,13,6,39.515,421.297,13.4528,51.2787,97.989
2018,5,177,1,13,7,40.122,421.635,13.4699,51.2787,98.0105
2018,5,177,1,13,7,40.53,422.25,13.4948,51.2787,98.0105
2018,5,177,1,13,8,41.136,421.737,13.5049,51.2787,98.0105
2018,5,177,1,13,9,41.746,421.178,13.5225,51.2787,98.0105
2018,5,177,1,13,9,42.154,420.896,13.5475,51.2787,98.032
2018,5,177,1,13,10,42.76,421.31198,13.5784,51.2787,98.0105
2018,5,177,1,13,10,43.166,421.45697,13.5903,51.2787,98.032
2018,5,177,1,13,11,43.776,421.694,13.6171,51.3051,98.0105
2018,5,177,1,13,11,44.184,421.50998,13.6329,51.2787,98.032
2018,5,177,1,13,12,44.791,422.29498,13.6383,51.2787,98.032
2018,5,177,1,13,12,45.201,422.446,13.6578,51.3051,98.0105
2018,5,177,1,13,13,45.811,421.56702,13.6827,51.3051,98.0105
